scenario,policy,outcome,mode,side,dcpa_drawn,tcpa_drawn,sense,tcpa_at_engage,tcpa_at_first_turn,first_turn_compliant,peak_dpsi_compliant,peak_dpsi_wrong,min_speed,speed_at_closest,min_range,mean_throttle_engaged
20,run9,goal,basin,starboard,2.455380360551736,9.042169361535493,1,7.5981459480598765,,False,48.50940348695201,43.28688225693713,0.2460886051396262,0.2734951720157054,2.991216821819613,-0.8391307592391968
21,run9,collision:target,basin,starboard,0.3757033796243289,9.49896904568514,1,7.61144838888727,6.896997217162583,False,0.0,46.09145143626773,0.49605721749158144,0.7985910573562811,1.570451990149445,0.6421850140278156
22,run9,collision:target,basin,port,1.4601377428364724,8.377208724734128,-1,5.586079517068672,6.104566597915185,False,-0.0,20.45855798405887,0.5581909514189132,0.9011185388478354,1.3965249768341224,0.5261541957204993
23,run9,collision:target,basin,port,0.8128280920360667,10.13576215092496,-1,6.6962939073772745,,True,15.550771499115456,13.776909534375818,0.3767500504040006,0.5589549807673352,1.736642230972012,-0.37818762212991713
24,run9,collision:boundary,channel,starboard,2.4658059993829493,8.556858237844443,1,4.274698347472568,,False,7.730090902636903,42.564151469959654,0.31521911096478805,0.31521911096478805,2.2442716688612707,-0.8185082316398621
25,run9,goal,basin,starboard,0.011672841727625172,9.689499897718894,1,7.108986599785669,6.749375619051832,False,39.52780724992306,27.92468882956473,0.5581909514189132,0.9850927471686184,2.0967987289983765,0.7009418183671576
26,run9,goal,basin,port,2.4529873854013067,9.062939829678658,-1,5.843756470667463,4.600839298106521,True,43.32011709139368,39.14144197062478,0.5581909514189132,0.8406580090404827,2.0009329187710088,0.7103612472613653
27,run9,collision:target,channel,port,0.17000430075675282,11.63413261725211,-1,10.846059199601738,3.9811685505202217,True,24.50366989140764,2.521235812254389,0.42576947760715916,0.5995865327272772,1.3746835979019945,-0.14259725107866175
28,run9,collision:target,basin,port,0.23622966892240083,8.507879150870341,-1,6.841121069475602,,,9.676716430588954,4.111657335537814,0.5263706138591712,0.6725181391150112,2.2825606663902502,0.3902247093617916
29,run9,goal,basin,starboard,1.5379687920128267,9.281948455447523,1,6.7174290975367095,6.71138473902699,True,41.3720078001341,40.79663774484811,0.41428200888601624,0.7153561567769332,2.639957085299282,0.2714035915476935
30,run9,collision:boundary,basin,port,2.226126868249491,9.64953455321088,-1,8.257426119916945,6.664189916803535,True,62.211804783896355,61.43871839243934,0.44616205723263497,0.7395558108766775,1.1990202425962542,0.3452900714780155
31,run9,collision:target,basin,port,0.23366396928340888,10.766328830535238,-1,8.017987693127825,6.578212824248599,False,6.110738355321928,16.165803207156216,0.5581909514189132,0.7396068495503177,1.6545585761959671,0.26879037056977934
32,run9,goal,basin,port,1.624241388782099,8.020618658983967,-1,6.399803902972696,5.231089192929409,False,11.844116312011806,17.568570396012205,0.5455456463437935,0.7974613347574175,2.3326137544235195,0.47974560985511
33,run9,collision:target,basin,port,1.4394070464462696,10.383855597374302,-1,6.908319487031329,,False,3.3402155138612954,28.91045869823168,0.5312069425847131,0.7155513239441881,2.008590142843115,0.39218128317346174
34,run9,collision:target,basin,port,0.9180185044120603,12.325303409659567,0,,,,34.03096032047716,2.35341242455047,0.5581909514189132,0.83081634987955,1.3065049669373634,
35,run9,goal,basin,starboard,1.622891763736585,9.608986499702809,1,6.9794777317516346,,False,58.80661364214524,41.32842031692144,0.2130359927237401,0.21625429072286156,2.379466572441703,-0.9799584478139878
36,run9,goal,basin,starboard,2.3463067862190936,8.140740085111329,1,6.227836448908537,6.629917333022697,False,67.0080492273438,53.19200414936489,0.2230378946780438,0.2275762706246712,3.221884752957458,-0.9482899433688113
37,run9,collision:target,basin,port,1.0854240390193897,8.18335307064365,0,,,,35.113977917986205,-0.0,0.531635636015689,0.8079341043532932,1.4176862090243663,
38,run9,goal,basin,starboard,2.255702132700812,8.105535018521422,1,4.419195080425025,1.7342908289120913,False,36.3653082175239,23.41945081382437,0.5581909514189132,0.7168401645687535,3.1999486429165636,0.4002225928540741
39,run9,collision:target,basin,port,0.21478633800013247,9.527681597408542,-1,7.16857498783431,4.477122860140113,True,22.604163778681823,0.0,0.4728023768891915,0.4728023768891915,2.168591081534157,-0.03136160193632046
20,reference,goal,basin,starboard,2.455380360551736,9.042169361535493,1,6.889275166733601,,True,13.859079404511078,24.877191230713436,0.3781689246716091,0.4761325497081439,2.6771492318794485,0.0
21,reference,goal,basin,starboard,0.3757033796243289,9.49896904568514,1,7.113890717132605,4.9893513039964,True,32.967597829446476,14.19307446739208,0.3062264252473632,0.31922334114159656,1.6125209733341188,-1.0
22,reference,goal,basin,port,1.4601377428364724,8.377208724734128,-1,6.038110664978421,1.9978902207646727,True,14.86937919408723,6.138597670839431,0.3554526485932747,0.38249766006034225,2.2565675256562048,-0.7321428571428571
23,reference,goal,basin,port,0.8128280920360667,10.13576215092496,0,,-7.782188705576533,,26.03297725371624,33.55626436938911,0.2738939211282775,0.2974615499043617,1.9993874936230274,
24,reference,goal,channel,starboard,2.4658059993829493,8.556858237844443,0,,3.053959934193376,,15.133115862972659,25.496803899356564,0.45680093761044194,0.5341313946463634,2.4163255001971,
25,reference,goal,basin,starboard,0.011672841727625172,9.689499897718894,1,8.201259793526605,5.383117142335886,True,35.4457876062676,23.26791198622641,0.27145734724574755,0.27145734724574755,1.1718015251079594,-0.7205882352941176
26,reference,goal,basin,port,2.4529873854013067,9.062939829678658,-1,6.985774541281743,1.8747604055252363,True,20.58900442568813,36.90912779026968,0.2666638510452624,0.48581801859549334,2.2217259647953025,-0.06666666666666667
27,reference,collision:target,channel,port,0.17000430075675282,11.63413261725211,-1,10.952395145768666,4.216509097880983,True,33.04342542045697,0.18785510680356765,0.31088995447773055,0.3143877267679307,1.479824050776271,-0.631578947368421
28,reference,collision:obstacle,basin,port,0.23622966892240083,8.507879150870341,-1,6.5867915562927015,4.160340615966486,True,48.81850162396745,32.49703777026298,0.17743284883934005,0.42490262519450034,1.1797802849979195,-0.18333333333333332
29,reference,goal,basin,starboard,1.5379687920128267,9.281948455447523,1,6.696675193763137,2.155379717599689,True,36.131066359957515,44.92591860499107,0.2109536014732758,0.30009451845328,2.4464205345557493,-0.7794117647058824
30,reference,goal,basin,port,2.226126868249491,9.64953455321088,-1,8.083901776555455,-4.1577878051600825,True,36.19163202933066,27.176687857729206,0.2686616673312465,0.29205632469025705,2.065030521917643,-0.7
31,reference,goal,basin,port,0.23366396928340888,10.766328830535238,-1,8.531553971623735,4.245457030796158,True,34.47159068481375,39.20748259922942,0.3081970279500651,0.3194627432914338,1.2634646239881016,-0.7763157894736842
32,reference,goal,basin,port,1.624241388782099,8.020618658983967,-1,6.654773527505109,,,4.5293521054240955,5.7726219427214005,0.48608552313300474,0.5448756144073621,1.6346337186459816,0.0
33,reference,collision:obstacle,basin,port,1.4394070464462696,10.383855597374302,-1,7.245092432499305,,False,23.427498341559726,13.149482617524342,0.34775204790748837,0.39656845212410086,1.9187002564163729,-0.5138888888888888
34,reference,collision:target,basin,port,0.9180185044120603,12.325303409659567,0,,,,28.61023866279419,1.1344052259545379,0.5114780340282551,0.5114780340282551,1.4125158834978528,
35,reference,collision:target,basin,starboard,1.622891763736585,9.608986499702809,0,,4.245382134726259,,2.488492724934247,22.065316091190482,0.4005306975110571,0.4005306975110571,1.6214568589746206,
36,reference,collision:obstacle,basin,starboard,2.3463067862190936,8.140740085111329,1,6.11858586377589,0.4385779014853533,False,16.860627174969636,14.910240864056561,0.38137515547695744,0.43453780411603626,2.733503833314234,-0.3888888888888889
37,reference,collision:target,basin,port,1.0854240390193897,8.18335307064365,0,,,,33.28013106108409,-0.0,0.5060980325822475,0.5060980325822475,1.4540190346416901,
38,reference,goal,basin,starboard,2.255702132700812,8.105535018521422,1,5.750396778972043,2.2495928486520076,True,31.32589258851874,37.79957089494815,0.2976749617717501,0.5096940764152985,1.8728174249589369,0.0
39,reference,collision:target,basin,port,0.21478633800013247,9.527681597408542,-1,7.626493887884505,7.422467030399197,False,34.19404577683184,14.160467231118787,0.29081398658753915,0.30245785494695077,1.25808616330891,-0.7941176470588235
