scenario,policy,outcome,mode,side,dcpa_drawn,tcpa_drawn,sense,tcpa_at_engage,tcpa_at_first_turn,first_turn_compliant,peak_dpsi_compliant,peak_dpsi_wrong,min_speed,speed_at_closest,min_range,mean_throttle_engaged
20,run10,goal,basin,starboard,2.455380360551736,9.042169361535493,1,7.1421646432161685,7.1421646432161685,False,50.32244166784341,50.06434655435919,0.20098380481741354,0.2635886397890173,2.5272179764152285,-0.9749554883350026
21,run10,collision:target,basin,starboard,0.3757033796243289,9.49896904568514,1,7.467822813128039,6.611356788582092,False,0.0,19.94991007725048,0.5220025183994899,0.8558620374721364,1.4211983393897862,0.4600195458957127
22,run10,goal,basin,port,1.4601377428364724,8.377208724734128,-1,6.036614034694153,5.8366050537843925,False,33.3893099932518,21.35661309158155,0.2697818677915928,0.33823228839059677,2.0087038622030264,-1.0
23,run10,collision:target,basin,port,0.8128280920360667,10.13576215092496,0,,,,28.13020065791494,9.630657248804141,0.5581909514189132,0.8233107507975741,1.220270016484155,
24,run10,collision:target,channel,starboard,2.4658059993829493,8.556858237844443,0,,,,0.0,28.058201077347178,0.46981942841932467,0.46981942841932467,1.5240182781062728,
25,run10,goal,basin,starboard,0.011672841727625172,9.689499897718894,1,7.038533859329222,6.215380261955628,False,16.494330114753467,27.248074203838087,0.5498373818154234,0.9490803152148786,1.2319205624781284,0.48963499986208403
26,run10,collision:target,basin,port,2.4529873854013067,9.062939829678658,-1,7.784127892760795,5.04516703187682,True,32.64370002114157,0.0,0.24916708395635148,0.24916708395635148,1.493060286607829,-0.9804836809635162
27,run10,goal,channel,port,0.17000430075675282,11.63413261725211,-1,11.698443573757942,10.566826700462187,True,44.14917731055192,55.642218428376424,0.21566629794024839,0.2835712140680278,2.583710342123925,-0.5305989595750967
28,run10,goal,basin,port,0.23622966892240083,8.507879150870341,-1,7.594174169394609,3.7812746710934895,True,53.718229334776765,61.746647921769124,0.3183400499824686,0.6201711357640219,1.2022492995633847,-0.3802308807770411
29,run10,goal,basin,starboard,1.5379687920128267,9.281948455447523,1,7.752769059619077,,False,40.13329324702846,39.91124060439239,0.17797068988860038,0.2025604457753716,2.3137739625490967,-0.9906088511149088
30,run10,goal,basin,port,2.226126868249491,9.64953455321088,-1,8.226106668822663,7.038443766280725,True,32.38443109375203,24.664667297119706,0.30225793925204086,0.3873035065671841,1.010573820461001,-0.6407990665598349
31,run10,goal,basin,port,0.23366396928340888,10.766328830535238,-1,7.0922216859653515,4.588816448094511,True,48.22429373066632,30.096711044671167,0.29925307208598273,0.4647066004564053,1.1695825307752687,-0.7333333333333333
32,run10,goal,basin,port,1.624241388782099,8.020618658983967,-1,7.117176414300024,5.588043496473711,False,24.85680343809213,20.458091322601888,0.4284875173816047,0.6123055619773936,2.1396312627571916,-0.17402418301655695
33,run10,goal,basin,port,1.4394070464462696,10.383855597374302,-1,6.513400900159105,6.513400900159105,False,59.622062500806294,36.32481521038699,0.28054617609667665,0.46143782441484915,1.7611039433945779,-0.6211240622732375
34,run10,collision:target,basin,port,0.9180185044120603,12.325303409659567,0,,,,28.070618661207618,-0.0,0.5581909514189132,0.7678861029796604,1.5349729233914744,
35,run10,collision:target,basin,starboard,1.622891763736585,9.608986499702809,1,9.24492180455222,,False,0.0,38.524029085692575,0.2562903519732513,0.35753155479409615,1.65680886483066,-0.8361490198544094
36,run10,goal,basin,starboard,2.3463067862190936,8.140740085111329,1,6.250366292813559,6.771600117402703,False,55.09257337372793,48.1428175726391,0.19004615530574726,0.22975110709108404,2.797321464244801,-0.7900112886962137
37,run10,collision:target,basin,port,1.0854240390193897,8.18335307064365,0,,,,42.424358812845924,-0.0,0.43805143953994075,0.6516200050071354,1.8272687652420148,
38,run10,goal,basin,starboard,2.255702132700812,8.105535018521422,1,6.65788110021112,2.4588299495191883,False,19.86401566290988,24.849250081046875,0.4794452642251255,0.7472304279387988,2.9887808648532723,0.688394478389195
39,run10,goal,basin,port,0.21478633800013247,9.527681597408542,-1,6.502524772939065,5.634337635761041,True,54.51125007134175,39.465512010629226,0.32867267037926534,0.4681462836028373,1.0232811688258967,-0.5635179073756768
20,reference,goal,basin,starboard,2.455380360551736,9.042169361535493,1,6.889275166733601,,True,13.859079404511078,24.877191230713436,0.3781689246716091,0.4761325497081439,2.6771492318794485,0.0
21,reference,goal,basin,starboard,0.3757033796243289,9.49896904568514,1,7.113890717132605,4.9893513039964,True,32.967597829446476,14.19307446739208,0.3062264252473632,0.31922334114159656,1.6125209733341188,-1.0
22,reference,goal,basin,port,1.4601377428364724,8.377208724734128,-1,6.038110664978421,1.9978902207646727,True,14.86937919408723,6.138597670839431,0.3554526485932747,0.38249766006034225,2.2565675256562048,-0.7321428571428571
23,reference,goal,basin,port,0.8128280920360667,10.13576215092496,0,,-7.782188705576533,,26.03297725371624,33.55626436938911,0.2738939211282775,0.2974615499043617,1.9993874936230274,
24,reference,goal,channel,starboard,2.4658059993829493,8.556858237844443,0,,3.053959934193376,,15.133115862972659,25.496803899356564,0.45680093761044194,0.5341313946463634,2.4163255001971,
25,reference,goal,basin,starboard,0.011672841727625172,9.689499897718894,1,8.201259793526605,5.383117142335886,True,35.4457876062676,23.26791198622641,0.27145734724574755,0.27145734724574755,1.1718015251079594,-0.7205882352941176
26,reference,goal,basin,port,2.4529873854013067,9.062939829678658,-1,6.985774541281743,1.8747604055252363,True,20.58900442568813,36.90912779026968,0.2666638510452624,0.48581801859549334,2.2217259647953025,-0.06666666666666667
27,reference,collision:target,channel,port,0.17000430075675282,11.63413261725211,-1,10.952395145768666,4.216509097880983,True,33.04342542045697,0.18785510680356765,0.31088995447773055,0.3143877267679307,1.479824050776271,-0.631578947368421
28,reference,collision:obstacle,basin,port,0.23622966892240083,8.507879150870341,-1,6.5867915562927015,4.160340615966486,True,48.81850162396745,32.49703777026298,0.17743284883934005,0.42490262519450034,1.1797802849979195,-0.18333333333333332
29,reference,goal,basin,starboard,1.5379687920128267,9.281948455447523,1,6.696675193763137,2.155379717599689,True,36.131066359957515,44.92591860499107,0.2109536014732758,0.30009451845328,2.4464205345557493,-0.7794117647058824
30,reference,goal,basin,port,2.226126868249491,9.64953455321088,-1,8.083901776555455,-4.1577878051600825,True,36.19163202933066,27.176687857729206,0.2686616673312465,0.29205632469025705,2.065030521917643,-0.7
31,reference,goal,basin,port,0.23366396928340888,10.766328830535238,-1,8.531553971623735,4.245457030796158,True,34.47159068481375,39.20748259922942,0.3081970279500651,0.3194627432914338,1.2634646239881016,-0.7763157894736842
32,reference,goal,basin,port,1.624241388782099,8.020618658983967,-1,6.654773527505109,,,4.5293521054240955,5.7726219427214005,0.48608552313300474,0.5448756144073621,1.6346337186459816,0.0
33,reference,collision:obstacle,basin,port,1.4394070464462696,10.383855597374302,-1,7.245092432499305,,False,23.427498341559726,13.149482617524342,0.34775204790748837,0.39656845212410086,1.9187002564163729,-0.5138888888888888
34,reference,collision:target,basin,port,0.9180185044120603,12.325303409659567,0,,,,28.61023866279419,1.1344052259545379,0.5114780340282551,0.5114780340282551,1.4125158834978528,
35,reference,collision:target,basin,starboard,1.622891763736585,9.608986499702809,0,,4.245382134726259,,2.488492724934247,22.065316091190482,0.4005306975110571,0.4005306975110571,1.6214568589746206,
36,reference,collision:obstacle,basin,starboard,2.3463067862190936,8.140740085111329,1,6.11858586377589,0.4385779014853533,False,16.860627174969636,14.910240864056561,0.38137515547695744,0.43453780411603626,2.733503833314234,-0.3888888888888889
37,reference,collision:target,basin,port,1.0854240390193897,8.18335307064365,0,,,,33.28013106108409,-0.0,0.5060980325822475,0.5060980325822475,1.4540190346416901,
38,reference,goal,basin,starboard,2.255702132700812,8.105535018521422,1,5.750396778972043,2.2495928486520076,True,31.32589258851874,37.79957089494815,0.2976749617717501,0.5096940764152985,1.8728174249589369,0.0
39,reference,collision:target,basin,port,0.21478633800013247,9.527681597408542,-1,7.626493887884505,7.422467030399197,False,34.19404577683184,14.160467231118787,0.29081398658753915,0.30245785494695077,1.25808616330891,-0.7941176470588235
