scenario,policy,outcome,mode,side,dcpa_drawn,tcpa_drawn,sense,tcpa_at_engage,tcpa_at_first_turn,first_turn_compliant,peak_dpsi_compliant,peak_dpsi_wrong,min_speed,speed_at_closest,min_range,mean_throttle_engaged
20,run6,goal,basin,starboard,2.455380360551736,9.042169361535493,1,6.806166457972441,6.255621322413692,False,44.565835936114865,39.301358728775085,0.31866873182833094,0.34560437021713697,2.135639293671067,-0.4844684874018033
21,run6,collision:target,basin,starboard,0.3757033796243289,9.49896904568514,1,7.0991504945520205,,,4.72209744066916,4.489195324129241,0.37527153697518306,0.47549555231954277,1.658919135005648,-0.6575643393126401
22,run6,collision:target,basin,port,1.4601377428364724,8.377208724734128,-1,6.333956200520134,6.801682502799065,False,-0.0,19.81836475878771,0.5236640220316838,0.8436803826887072,1.7477373006969013,0.4569485282356089
23,run6,goal,basin,port,0.8128280920360667,10.13576215092496,-1,7.516544479477567,5.415307775701317,False,38.72459963145104,29.961022178011547,0.20231718538743165,0.23202233520841473,2.322293188310404,-1.0
24,run6,goal,channel,starboard,2.4658059993829493,8.556858237844443,0,,,,18.55622586608567,26.764626426210953,0.3613355933888361,0.3757412099275623,2.3917911410107413,
25,run6,collision:target,basin,starboard,0.011672841727625172,9.689499897718894,1,7.425548138252617,5.328935681961667,True,15.815052023977671,-0.0,0.35862987164812093,0.35862987164812093,1.606321611058041,-0.7945410937070847
26,run6,goal,basin,port,2.4529873854013067,9.062939829678658,-1,6.81150672046684,1.504284180377895,True,16.32741461365731,23.27806538061651,0.5448452995393548,0.5904327330527502,2.63435402905071,0.10964971035718918
27,run6,collision:target,channel,port,0.17000430075675282,11.63413261725211,-1,10.29623798458908,8.118164337072788,True,14.52782357753972,6.059915546984229,0.2893474605439896,0.4922265572045432,1.6447871785972168,-0.7
28,run6,collision:target,basin,port,0.23622966892240083,8.507879150870341,-1,6.640402998058804,5.546741226586577,False,-0.0,20.777974563894702,0.4283597261321827,0.7319359996597044,1.9347646196346118,0.11780623393133283
29,run6,goal,basin,starboard,1.5379687920128267,9.281948455447523,1,7.226075060264025,-0.5183397020518921,True,39.776577570007134,41.56346572170645,0.2423008802027939,0.2611831602595714,2.5424218113483157,-0.9875970946417915
30,run6,goal,basin,port,2.226126868249491,9.64953455321088,-1,8.327988077377853,7.066872864763053,False,35.594707069565686,18.971581165983878,0.4511491269500674,0.548093328190375,2.0908100711052193,-0.07593210869365269
31,run6,collision:target,basin,port,0.23366396928340888,10.766328830535238,-1,9.945809476266525,9.945809476266525,False,-0.0,20.434879726021506,0.3569628896538142,0.4612661214357247,1.876362441745813,-0.40713521104086847
32,run6,goal,basin,port,1.624241388782099,8.020618658983967,-1,6.10364582459821,5.263485931534518,False,22.011126577079494,22.993665064970344,0.5581909514189132,0.8957633355505015,2.590735634394466,0.6439309298992157
33,run6,collision:target,basin,port,1.4394070464462696,10.383855597374302,-1,7.678656103367917,,False,2.337192352936455,29.819047043124158,0.4933006369683005,0.5593496230374682,1.692412408456998,-0.009634364928518022
34,run6,collision:target,basin,port,0.9180185044120603,12.325303409659567,0,,,,32.6981490214979,-0.0,0.39826465647793485,0.8037770816517742,1.3592074764111568,
35,run6,collision:target,basin,starboard,1.622891763736585,9.608986499702809,1,4.497274059834657,,False,0.0,30.273955118619597,0.46499995951771533,0.46499995951771533,1.3614595298169228,-0.768363333410687
36,run6,goal,basin,starboard,2.3463067862190936,8.140740085111329,1,6.237829408931321,6.742916404318984,False,62.05785429485809,33.29410320768534,0.20374657210053718,0.23718185471252734,3.2213859282874653,-0.996493892537223
37,run6,collision:target,basin,port,1.0854240390193897,8.18335307064365,0,,,,31.45695342304367,-0.0,0.5581909514189132,0.8824300353582679,1.7145994873291341,
38,run6,goal,basin,starboard,2.255702132700812,8.105535018521422,1,5.391095062359274,-0.9006906083736287,False,25.51393832108633,27.608423130930987,0.4413889879835431,0.5549204579721199,2.0629068332146447,-0.36273499520925373
39,run6,collision:target,basin,port,0.21478633800013247,9.527681597408542,-1,7.598859654964462,6.766763548496496,False,-0.0,22.14522642834902,0.43533542347579857,0.6314523154623839,1.4392363216411301,-0.007339895702898502
20,reference,goal,basin,starboard,2.455380360551736,9.042169361535493,1,6.889275166733601,,True,13.859079404511078,24.877191230713436,0.3781689246716091,0.4761325497081439,2.6771492318794485,0.0
21,reference,goal,basin,starboard,0.3757033796243289,9.49896904568514,1,7.113890717132605,4.9893513039964,True,32.967597829446476,14.19307446739208,0.3062264252473632,0.31922334114159656,1.6125209733341188,-1.0
22,reference,goal,basin,port,1.4601377428364724,8.377208724734128,-1,6.038110664978421,1.9978902207646727,True,14.86937919408723,6.138597670839431,0.3554526485932747,0.38249766006034225,2.2565675256562048,-0.7321428571428571
23,reference,goal,basin,port,0.8128280920360667,10.13576215092496,0,,-7.782188705576533,,26.03297725371624,33.55626436938911,0.2738939211282775,0.2974615499043617,1.9993874936230274,
24,reference,goal,channel,starboard,2.4658059993829493,8.556858237844443,0,,3.053959934193376,,15.133115862972659,25.496803899356564,0.45680093761044194,0.5341313946463634,2.4163255001971,
25,reference,goal,basin,starboard,0.011672841727625172,9.689499897718894,1,8.201259793526605,5.383117142335886,True,35.4457876062676,23.26791198622641,0.27145734724574755,0.27145734724574755,1.1718015251079594,-0.7205882352941176
26,reference,goal,basin,port,2.4529873854013067,9.062939829678658,-1,6.985774541281743,1.8747604055252363,True,20.58900442568813,36.90912779026968,0.2666638510452624,0.48581801859549334,2.2217259647953025,-0.06666666666666667
27,reference,collision:target,channel,port,0.17000430075675282,11.63413261725211,-1,10.952395145768666,4.216509097880983,True,33.04342542045697,0.18785510680356765,0.31088995447773055,0.3143877267679307,1.479824050776271,-0.631578947368421
28,reference,collision:obstacle,basin,port,0.23622966892240083,8.507879150870341,-1,6.5867915562927015,4.160340615966486,True,48.81850162396745,32.49703777026298,0.17743284883934005,0.42490262519450034,1.1797802849979195,-0.18333333333333332
29,reference,goal,basin,starboard,1.5379687920128267,9.281948455447523,1,6.696675193763137,2.155379717599689,True,36.131066359957515,44.92591860499107,0.2109536014732758,0.30009451845328,2.4464205345557493,-0.7794117647058824
30,reference,goal,basin,port,2.226126868249491,9.64953455321088,-1,8.083901776555455,-4.1577878051600825,True,36.19163202933066,27.176687857729206,0.2686616673312465,0.29205632469025705,2.065030521917643,-0.7
31,reference,goal,basin,port,0.23366396928340888,10.766328830535238,-1,8.531553971623735,4.245457030796158,True,34.47159068481375,39.20748259922942,0.3081970279500651,0.3194627432914338,1.2634646239881016,-0.7763157894736842
32,reference,goal,basin,port,1.624241388782099,8.020618658983967,-1,6.654773527505109,,,4.5293521054240955,5.7726219427214005,0.48608552313300474,0.5448756144073621,1.6346337186459816,0.0
33,reference,collision:obstacle,basin,port,1.4394070464462696,10.383855597374302,-1,7.245092432499305,,False,23.427498341559726,13.149482617524342,0.34775204790748837,0.39656845212410086,1.9187002564163729,-0.5138888888888888
34,reference,collision:target,basin,port,0.9180185044120603,12.325303409659567,0,,,,28.61023866279419,1.1344052259545379,0.5114780340282551,0.5114780340282551,1.4125158834978528,
35,reference,collision:target,basin,starboard,1.622891763736585,9.608986499702809,0,,4.245382134726259,,2.488492724934247,22.065316091190482,0.4005306975110571,0.4005306975110571,1.6214568589746206,
36,reference,collision:obstacle,basin,starboard,2.3463067862190936,8.140740085111329,1,6.11858586377589,0.4385779014853533,False,16.860627174969636,14.910240864056561,0.38137515547695744,0.43453780411603626,2.733503833314234,-0.3888888888888889
37,reference,collision:target,basin,port,1.0854240390193897,8.18335307064365,0,,,,33.28013106108409,-0.0,0.5060980325822475,0.5060980325822475,1.4540190346416901,
38,reference,goal,basin,starboard,2.255702132700812,8.105535018521422,1,5.750396778972043,2.2495928486520076,True,31.32589258851874,37.79957089494815,0.2976749617717501,0.5096940764152985,1.8728174249589369,0.0
39,reference,collision:target,basin,port,0.21478633800013247,9.527681597408542,-1,7.626493887884505,7.422467030399197,False,34.19404577683184,14.160467231118787,0.29081398658753915,0.30245785494695077,1.25808616330891,-0.7941176470588235
